customer_id,age,gender,region,education,income_bracket,tenure_months,num_products,monthly_spend,payment_delay_days,support_tickets_6mo,login_frequency_monthly,last_interaction_days,satisfaction_score,contract_type,has_loyalty_program,referral_count,treatment,offer_type,uplift_segment,churn
CUST02746,36,Male,Central,Diploma,Upper-Mid,51,4,52.96,1.0,2,6,23,5.0,One Year,1,1,1,Free Upgrade,Sure Thing,0
CUST00260,49,Female,South,Diploma,Mid,14,2,138.03,10.0,1,10,3,5.0,One Year,0,1,0,None,Sleeping Dog,1
CUST00450,27,Female,East,High School,Upper-Mid,35,1,51.27,10.0,0,7,49,2.0,One Year,0,2,0,None,Persuadable,1
CUST03067,61,Male,East,High School,Mid,49,2,73.88,5.0,1,11,1,5.0,One Year,1,0,0,None,Persuadable,0
CUST02608,18,Male,West,High School,High,120,2,50.45,5.0,1,4,27,4.0,One Year,1,0,0,None,Persuadable,0
CUST00376,30,Female,South,Master,Upper-Mid,89,2,84.85,,0,12,3,1.0,One Year,0,1,1,Personal Outreach,Persuadable,0
CUST00197,29,Female,Central,Bachelor,High,37,2,49.8,0.0,0,6,3,4.0,Month-to-Month,1,0,0,None,Sure Thing,0
CUST02161,26,Male,East,Bachelor,Upper-Mid,14,2,103.58,0.0,1,7,51,1.0,Two Year,1,2,1,Discount,Sleeping Dog,0
CUST00528,40,Female,West,High School,Lower-Mid,5,1,65.44,7.0,1,7,23,3.0,Month-to-Month,0,2,0,None,Persuadable,1
CUST00585,42,Female,East,Bachelor,Low,3,2,151.72,5.0,1,10,53,4.0,Month-to-Month,0,0,1,Loyalty Bonus,Sleeping Dog,1
CUST01618,30,Male,West,Bachelor,High,15,1,73.21,30.0,2,11,37,,Month-to-Month,1,0,1,Personal Outreach,Sleeping Dog,1
CUST01380,61,Male,North,High School,Mid,10,3,70.13,1.0,0,6,24,3.0,Month-to-Month,0,0,1,Personal Outreach,Sure Thing,1
CUST03300,53,Female,East,High School,Upper-Mid,17,2,85.98,0.0,1,8,6,4.0,Month-to-Month,0,0,0,None,Sleeping Dog,0
CUST02515,38,Female,West,,High,103,3,63.62,0.0,1,6,33,4.0,Month-to-Month,1,0,0,None,Lost Cause,0
CUST01562,31,Female,East,Master,Low,10,2,82.18,15.0,1,7,27,2.0,One Year,1,2,1,Loyalty Bonus,Persuadable,1
CUST01410,36,Male,Central,Diploma,Mid,1,1,27.01,1.0,1,9,10,5.0,Two Year,1,0,1,Discount,Sleeping Dog,0
CUST02714,23,Female,West,High School,High,8,1,24.57,7.0,1,4,65,5.0,Month-to-Month,1,1,0,None,Sleeping Dog,1
CUST01145,37,Male,South,Master,Mid,35,2,60.72,3.0,0,7,12,5.0,Month-to-Month,1,2,0,None,Sleeping Dog,0
